chaser,step,scene,duration_ms,beats
dance_house-blue_room-deep_room,19,par_13_lavender,,1
dance_house-blue_room-deep_room,20,par_24_lavender,,1
dance_house-blue_room-deep_room,21,par_all_lavender,,1
dance_house-blue_room-deep_room,22,par_all_lavender,,1
dance_house-blue_room-deep_room,23,par_13_lavender,,1
dance_house-blue_room-deep_room,24,par_24_lavender,,1
dance_house-blue_room-deep_room,25,par_12_cyan,,1
dance_house-blue_room-deep_room,26,par_34_lavender,,1
dance_house-blue_room-deep_room,27,par_12_cyan,,1
dance_house-blue_room-deep_room,28,par_34_lavender,,1
dance_house-blue_room-deep_room,29,par_12_cyan,,1
dance_house-blue_room-deep_room,30,par_34_lavender,,1
dance_house-blue_room-deep_room,31,par_12_cyan,,1
dance_house-blue_room-deep_room,32,par_34_lavender,,1
dance_house-blue_room-deep_room,33,par_12_cyan,,1
dance_house-blue_room-deep_room,34,par_34_lavender,,1
dance_house-blue_room-deep_room,35,par_12_cyan,,1
dance_house-blue_room-deep_room,36,par_34_lavender,,1
dance_house-blue_room-deep_room,37,par_12_cyan,,1
dance_house-blue_room-deep_room,38,par_34_lavender,,1
dance_house-blue_room-deep_room,39,par_12_cyan,,1
dance_house-blue_room-deep_room,40,par_34_lavender,,1
dance_house-blue_room-deep_room,41,par_all_cyan,,1
dance_house-blue_room-deep_room,42,par_all_lavender,,1
dance_house-blue_room-deep_room,43,par_all_white,,1
dance_house-blue_room-deep_room,44,par_all_off,,1
dance_house-blue_room-deep_room,45,par_all_cyan,,1
dance_house-blue_room-deep_room,46,par_all_lavender,,1
dance_house-blue_room-deep_room,47,par_all_white,,1
dance_house-blue_room-deep_room,48,par_all_off,,1
dance_house-blue_room-deep_room,49,disco_cyan,,1
dance_house-blue_room-deep_room,50,disco_lavender,,1
dance_house-blue_room-deep_room,51,disco_cyan,,1
dance_house-blue_room-deep_room,52,disco_off,,1
dance_house-blue_room-deep_room,53,disco_cyan,,1
dance_house-blue_room-deep_room,54,disco_lavender,,1
